claim_filed,claim_amount,fraud_flag,settlement_days,vehicle_age,vehicle_type,fuel_type,vehicle_value,engine_capacity_cc,safety_rating_ncap,anti_theft_device,driver_age,driving_experience_years,annual_mileage,usage_type,credit_score_tier,speeding_violations_count,past_claims_count,coverage_tier,deductible_amount,no_claim_bonus_pct,annual_premium,risk_zone,parking_location
0,0.0,0,0,1,SUV,PETROL,23352.51,1070,4,0,43,19,14600,PERSONAL,GOOD,0,0,COMPREHENSIVE,1000,0,798.77,URBAN,LOCKED_GARAGE
0,0.0,0,0,14,SEDAN,ELECTRIC,4941.73,800,1,0,33,14,15200,PERSONAL,EXCELLENT,0,0,THIRD_PARTY,500,0,250.0,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,12,HATCHBACK,CNG,4192.09,1780,3,0,58,31,2000,PERSONAL,GOOD,1,0,ZERO_DEP_PREMIUM,1000,45,250.0,SUBURBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,8,SEDAN,PETROL,11329.04,2510,4,0,49,12,10300,RIDESHARE,FAIR,0,1,COMPREHENSIVE,2000,0,518.57,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,8,SEDAN,HYBRID,12763.35,1550,2,0,68,40,12600,PERSONAL,GOOD,0,1,COMPREHENSIVE,250,45,311.45,SUBURBAN,STREET_PARKING
0,0.0,0,0,16,SUV,ELECTRIC,8519.39,1620,1,0,39,20,11900,COMMUTE,GOOD,0,0,COMPREHENSIVE,500,0,404.57,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,1,HATCHBACK,CNG,11631.59,1600,5,1,33,11,16600,PERSONAL,GOOD,2,0,THIRD_PARTY,1000,45,250.0,SUBURBAN,LOCKED_GARAGE
1,2152.54,0,27,13,TRUCK,PETROL,9803.75,2470,2,0,18,0,25900,RIDESHARE,EXCELLENT,1,0,COMPREHENSIVE,250,45,438.01,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,3,TRUCK,PETROL,35855.57,2950,2,1,74,56,18100,COMMUTE,FAIR,0,0,THIRD_PARTY,1000,20,562.87,URBAN,LOCKED_GARAGE
1,4898.87,0,22,1,TRUCK,PETROL,43258.45,3550,4,1,49,21,17300,PERSONAL,GOOD,2,1,ZERO_DEP_PREMIUM,500,50,1603.84,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,10,HATCHBACK,ELECTRIC,7249.47,1920,3,0,53,21,19200,COMMUTE,EXCELLENT,2,0,THIRD_PARTY,250,0,250.0,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,18,HATCHBACK,HYBRID,4000.0,1970,3,0,66,45,23400,PERSONAL,POOR,0,0,COMPREHENSIVE,500,0,250.0,METROPOLITAN,STREET_PARKING
1,4533.36,1,22,13,SEDAN,DIESEL,7164.91,1440,1,1,44,21,33000,PERSONAL,EXCELLENT,1,0,THIRD_PARTY,250,35,250.0,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,14,HATCHBACK,PETROL,4278.55,1530,2,0,32,9,16200,RIDESHARE,GOOD,0,0,COMPREHENSIVE,250,35,250.0,URBAN,LOCKED_GARAGE
0,0.0,0,0,13,SEDAN,PETROL,4993.97,1520,2,1,54,22,16000,PERSONAL,POOR,0,0,COMPREHENSIVE,250,0,250.0,URBAN,STREET_PARKING
1,3997.01,0,29,14,SEDAN,DIESEL,6214.58,1360,5,1,39,20,16600,RIDESHARE,GOOD,0,0,COMPREHENSIVE,250,0,292.47,RURAL,LOCKED_GARAGE
1,6041.57,1,21,9,SEDAN,CNG,11410.26,1680,5,0,18,0,16800,PERSONAL,POOR,0,0,THIRD_PARTY,2000,0,250.0,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,2,TRUCK,PETROL,32492.34,2710,3,1,63,30,9700,PERSONAL,GOOD,1,1,COMPREHENSIVE,500,25,1133.41,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,15,HATCHBACK,DIESEL,4000.0,1640,5,0,26,5,15000,PERSONAL,GOOD,1,2,COMPREHENSIVE,250,0,250.0,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,8,COMMERCIAL_VAN,DIESEL,17693.61,1420,4,0,31,13,9700,RIDESHARE,GOOD,1,0,THIRD_PARTY,500,35,319.84,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,9,LUXURY_COUPE,HYBRID,37384.73,2580,2,0,53,32,20900,COMMUTE,GOOD,2,0,ZERO_DEP_PREMIUM,1000,25,1673.28,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,7,COMMERCIAL_VAN,HYBRID,20898.72,980,5,0,18,0,35000,COMMUTE,EXCELLENT,1,1,ZERO_DEP_PREMIUM,1000,0,909.06,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,3,SEDAN,PETROL,15048.13,2120,5,1,43,19,16500,PERSONAL,EXCELLENT,3,1,ZERO_DEP_PREMIUM,1000,0,833.96,URBAN,LOCKED_GARAGE
0,0.0,0,0,17,COMMERCIAL_VAN,DIESEL,6916.19,1330,3,1,45,19,20000,PERSONAL,EXCELLENT,2,1,COMPREHENSIVE,250,0,351.78,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,14,TRUCK,HYBRID,9606.66,1550,5,0,57,18,22400,COMMERCIAL,FAIR,0,1,ZERO_DEP_PREMIUM,500,0,788.12,URBAN,LOCKED_GARAGE
0,0.0,0,0,12,COMMERCIAL_VAN,CNG,12124.4,1900,1,1,50,30,7600,PERSONAL,EXCELLENT,2,1,COMPREHENSIVE,500,20,429.16,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,7,SEDAN,DIESEL,9101.64,1930,3,1,52,34,19500,PERSONAL,EXCELLENT,0,1,COMPREHENSIVE,500,20,265.62,URBAN,PRIVATE_DRIVEWAY
0,0.0,0,0,15,SEDAN,PETROL,5096.85,1040,1,1,54,30,17200,PERSONAL,GOOD,0,0,ZERO_DEP_PREMIUM,1000,0,250.98,METROPOLITAN,STREET_PARKING
0,0.0,0,0,10,COMMERCIAL_VAN,DIESEL,11024.82,2010,4,0,62,25,4600,COMMERCIAL,GOOD,0,0,COMPREHENSIVE,500,0,611.95,URBAN,LOCKED_GARAGE
0,0.0,0,0,8,SEDAN,DIESEL,10295.51,2010,2,1,35,11,13200,COMMUTE,GOOD,5,1,ZERO_DEP_PREMIUM,500,0,805.26,METROPOLITAN,PRIVATE_DRIVEWAY
0,0.0,0,0,8,SUV,PETROL,20039.72,2880,3,0,28,9,2000,COMMUTE,FAIR,0,1,COMPREHENSIVE,500,0,592.45,SUBURBAN,LOCKED_GARAGE
0,0.0,0,0,4,SUV,CNG,23366.9,1450,3,0,29,10,3000,COMMUTE,FAIR,0,1,COMPREHENSIVE,250,0,693.93,RURAL,PRIVATE_DRIVEWAY
0,0.0,0,0,1,SEDAN,PETROL,14967.89,1560,5,1,50,19,5900,COMMERCIAL,EXCELLENT,1,0,ZERO_DEP_PREMIUM,250,35,943.17,METROPOLITAN,LOCKED_GARAGE
0,0.0,0,0,10,SEDAN,CNG,9711.77,1210,2,1,38,16,4700,COMMUTE,FAIR,2,0,COMPREHENSIVE,1000,45,250.0,RURAL,LOCKED_GARAGE
