vehicle_age,vehicle_type,fuel_type,usage_type,vehicle_value,driver_age,annual_mileage,credit_score_tier,previous_claims_count,coverage_tier,deductible_amount,annual_premium,claim_filed,claim_amount
1,SEDAN,DIESEL,PERSONAL,17256.4,35,10288,FAIR,1,THIRD_PARTY,500.0,250.0,0,0.0
6,COMMERCIAL_VAN,ELECTRIC,COMMERCIAL,25278.75,51,5887,POOR,0,THIRD_PARTY,1000.0,426.58,0,0.0
6,HATCHBACK,PETROL,PERSONAL,12522.78,38,20089,FAIR,0,COMPREHENSIVE,1000.0,356.9,0,0.0
0,SUV,PETROL,PERSONAL,41712.58,18,15622,GOOD,1,ZERO_DEP_PREMIUM,1000.0,1824.93,0,0.0
10,SEDAN,DIESEL,PERSONAL,8677.58,62,14845,POOR,0,ZERO_DEP_PREMIUM,500.0,303.72,0,0.0
13,SEDAN,HYBRID,PERSONAL,7238.08,40,10481,FAIR,1,ZERO_DEP_PREMIUM,1000.0,253.33,0,0.0
12,SEDAN,PETROL,PERSONAL,11601.07,51,14287,GOOD,1,COMPREHENSIVE,500.0,330.63,0,0.0
15,TRUCK,PETROL,PERSONAL,9161.61,53,17076,EXCELLENT,0,ZERO_DEP_PREMIUM,1000.0,320.66,0,0.0
15,SUV,DIESEL,PERSONAL,9562.5,26,15463,GOOD,0,COMPREHENSIVE,1000.0,272.53,1,1206.04
4,HATCHBACK,HYBRID,PERSONAL,10756.04,25,9737,FAIR,0,ZERO_DEP_PREMIUM,2000.0,376.46,0,0.0
2,SEDAN,ELECTRIC,PERSONAL,26651.02,75,19440,EXCELLENT,0,THIRD_PARTY,250.0,383.11,0,0.0
8,COMMERCIAL_VAN,CNG,PERSONAL,23358.64,67,13061,GOOD,0,THIRD_PARTY,250.0,291.98,0,0.0
8,HATCHBACK,PETROL,RIDESHARE,7061.96,47,15556,POOR,0,COMPREHENSIVE,500.0,301.9,0,0.0
6,SEDAN,PETROL,PERSONAL,17160.56,65,16282,GOOD,0,THIRD_PARTY,2000.0,250.0,0,0.0
11,SEDAN,DIESEL,COMMERCIAL,9990.6,53,22092,GOOD,0,THIRD_PARTY,250.0,250.0,1,1390.73
8,SEDAN,ELECTRIC,COMMERCIAL,10941.69,53,14365,POOR,0,THIRD_PARTY,500.0,250.0,0,0.0
11,SEDAN,PETROL,PERSONAL,8203.39,35,12264,EXCELLENT,0,ZERO_DEP_PREMIUM,500.0,287.12,0,0.0
1,SUV,PETROL,PERSONAL,35283.9,19,21111,POOR,0,ZERO_DEP_PREMIUM,500.0,1543.67,0,0.0
10,SUV,ELECTRIC,PERSONAL,11324.56,70,17485,FAIR,0,COMPREHENSIVE,250.0,371.16,0,0.0
9,SEDAN,PETROL,PERSONAL,14103.17,28,13877,GOOD,0,ZERO_DEP_PREMIUM,1000.0,493.61,0,0.0
7,SUV,PETROL,PERSONAL,13920.98,69,13593,EXCELLENT,1,ZERO_DEP_PREMIUM,250.0,560.32,0,0.0
9,SEDAN,DIESEL,COMMERCIAL,8524.9,73,3679,EXCELLENT,0,THIRD_PARTY,500.0,250.0,0,0.0
9,SEDAN,DIESEL,PERSONAL,10453.69,53,12106,GOOD,1,COMPREHENSIVE,250.0,297.93,0,0.0
9,SEDAN,ELECTRIC,COMMERCIAL,8708.06,48,6189,FAIR,0,ZERO_DEP_PREMIUM,1000.0,411.46,0,0.0
12,SUV,PETROL,PERSONAL,11992.1,48,3000,GOOD,0,ZERO_DEP_PREMIUM,1000.0,419.72,0,0.0
0,HATCHBACK,DIESEL,COMMERCIAL,15676.37,41,9818,FAIR,2,COMPREHENSIVE,1000.0,603.15,1,1087.59
2,SEDAN,DIESEL,PERSONAL,25950.12,63,6283,GOOD,0,COMPREHENSIVE,1000.0,739.58,0,0.0
15,SUV,DIESEL,PERSONAL,11959.82,38,10902,GOOD,0,ZERO_DEP_PREMIUM,2000.0,418.59,0,0.0
7,SUV,DIESEL,PERSONAL,22835.5,49,13886,POOR,0,COMPREHENSIVE,500.0,650.81,0,0.0
10,SEDAN,PETROL,PERSONAL,8359.19,66,14791,FAIR,0,THIRD_PARTY,1000.0,250.0,0,0.0
15,SUV,PETROL,PERSONAL,11852.76,47,12008,POOR,0,COMPREHENSIVE,500.0,337.8,0,0.0
7,SEDAN,PETROL,RIDESHARE,13093.09,74,6700,EXCELLENT,0,COMPREHENSIVE,500.0,643.69,0,0.0
13,SEDAN,PETROL,PERSONAL,7873.41,25,11954,FAIR,0,THIRD_PARTY,250.0,250.0,0,0.0
9,TRUCK,DIESEL,RIDESHARE,18736.71,50,7704,GOOD,1,COMPREHENSIVE,500.0,800.99,0,0.0
7,COMMERCIAL_VAN,ELECTRIC,PERSONAL,17602.2,77,18815,POOR,1,COMPREHENSIVE,500.0,576.91,0,0.0
10,HATCHBACK,ELECTRIC,COMMERCIAL,8265.16,68,11835,GOOD,0,COMPREHENSIVE,2000.0,318.0,0,0.0
14,SEDAN,ELECTRIC,PERSONAL,6474.9,68,7373,EXCELLENT,1,COMPREHENSIVE,500.0,250.0,0,0.0
11,SEDAN,PETROL,PERSONAL,10181.17,70,7770,GOOD,1,ZERO_DEP_PREMIUM,1000.0,409.79,0,0.0
10,SUV,PETROL,COMMERCIAL,12168.8,56,12531,EXCELLENT,1,COMPREHENSIVE,1000.0,468.19,0,0.0
6,SUV,PETROL,PERSONAL,25720.99,18,12761,EXCELLENT,0,ZERO_DEP_PREMIUM,500.0,1125.29,0,0.0
1,SEDAN,PETROL,PERSONAL,29384.28,50,11629,GOOD,1,COMPREHENSIVE,500.0,837.45,1,2636.71
2,SUV,PETROL,PERSONAL,27051.6,59,16972,FAIR,0,THIRD_PARTY,1000.0,338.14,1,8561.81
8,SEDAN,DIESEL,PERSONAL,14391.74,30,8172,EXCELLENT,0,COMPREHENSIVE,500.0,410.16,0,0.0
1,TRUCK,CNG,PERSONAL,47756.17,39,17016,GOOD,1,ZERO_DEP_PREMIUM,1000.0,1671.47,0,0.0
12,SEDAN,PETROL,PERSONAL,9170.46,22,12077,FAIR,0,THIRD_PARTY,250.0,250.0,0,0.0
15,SUV,PETROL,PERSONAL,9801.75,29,16381,GOOD,1,THIRD_PARTY,500.0,250.0,0,0.0
6,SEDAN,ELECTRIC,PERSONAL,16272.34,77,9684,POOR,0,COMPREHENSIVE,1000.0,533.33,1,1732.5
0,SUV,PETROL,PERSONAL,27262.98,46,16001,EXCELLENT,1,COMPREHENSIVE,2000.0,776.99,0,0.0
2,SUV,ELECTRIC,PERSONAL,34855.3,20,8868,GOOD,0,ZERO_DEP_PREMIUM,500.0,1524.92,0,0.0
12,SEDAN,ELECTRIC,PERSONAL,8626.19,78,19913,EXCELLENT,0,THIRD_PARTY,1000.0,250.0,0,0.0
13,COMMERCIAL_VAN,HYBRID,COMMERCIAL,11228.37,68,12140,POOR,0,COMPREHENSIVE,500.0,432.01,0,0.0
15,HATCHBACK,PETROL,COMMERCIAL,5062.34,53,10561,FAIR,1,ZERO_DEP_PREMIUM,1000.0,250.0,0,0.0
0,TRUCK,DIESEL,PERSONAL,31515.38,64,7218,FAIR,0,COMPREHENSIVE,500.0,898.19,0,0.0
5,TRUCK,DIESEL,COMMERCIAL,24050.51,62,13258,EXCELLENT,0,COMPREHENSIVE,2000.0,925.34,0,0.0
3,SUV,DIESEL,PERSONAL,21295.44,28,11831,POOR,0,COMPREHENSIVE,250.0,606.92,0,0.0
0,TRUCK,PETROL,COMMERCIAL,31888.5,43,6483,POOR,0,THIRD_PARTY,2000.0,538.12,0,0.0
4,SEDAN,PETROL,PERSONAL,15921.27,19,9186,GOOD,1,ZERO_DEP_PREMIUM,1000.0,696.56,0,0.0
13,SEDAN,DIESEL,PERSONAL,10620.13,46,3706,GOOD,1,THIRD_PARTY,1000.0,250.0,0,0.0
3,SEDAN,DIESEL,PERSONAL,17421.18,58,7416,POOR,0,THIRD_PARTY,1000.0,250.0,0,0.0
15,SEDAN,ELECTRIC,PERSONAL,7358.15,46,11946,GOOD,0,COMPREHENSIVE,1000.0,250.0,0,0.0
13,SUV,ELECTRIC,PERSONAL,8269.83,61,14091,EXCELLENT,0,COMPREHENSIVE,1000.0,250.0,0,0.0
10,SEDAN,DIESEL,PERSONAL,11352.89,53,11042,FAIR,0,THIRD_PARTY,1000.0,250.0,0,0.0
9,HATCHBACK,PETROL,PERSONAL,9511.25,75,14622,GOOD,0,THIRD_PARTY,500.0,250.0,0,0.0
15,SEDAN,ELECTRIC,PERSONAL,5713.47,36,8186,POOR,2,THIRD_PARTY,2000.0,250.0,0,0.0
13,SEDAN,DIESEL,PERSONAL,9870.27,27,14496,GOOD,0,COMPREHENSIVE,500.0,281.3,0,0.0
10,SUV,HYBRID,PERSONAL,19602.74,28,12152,EXCELLENT,0,THIRD_PARTY,1000.0,250.0,0,0.0
9,SEDAN,HYBRID,PERSONAL,12372.17,24,11572,GOOD,0,COMPREHENSIVE,1000.0,440.76,0,0.0
1,HATCHBACK,PETROL,PERSONAL,13345.42,30,12483,FAIR,1,THIRD_PARTY,1000.0,250.0,0,0.0
12,SEDAN,ELECTRIC,PERSONAL,9822.05,58,9803,EXCELLENT,1,COMPREHENSIVE,1000.0,279.93,0,0.0
6,COMMERCIAL_VAN,PETROL,RIDESHARE,27867.03,61,5595,GOOD,0,COMPREHENSIVE,250.0,1191.32,0,0.0
11,HATCHBACK,PETROL,RIDESHARE,4649.01,78,7796,EXCELLENT,0,COMPREHENSIVE,1000.0,250.0,1,467.42
14,SEDAN,DIESEL,PERSONAL,7059.46,19,6146,GOOD,0,THIRD_PARTY,250.0,250.0,0,0.0
7,SEDAN,PETROL,PERSONAL,12407.03,47,11474,POOR,0,COMPREHENSIVE,500.0,353.6,0,0.0
3,HATCHBACK,ELECTRIC,PERSONAL,10831.54,39,15572,GOOD,1,ZERO_DEP_PREMIUM,1000.0,379.1,0,0.0
8,HATCHBACK,PETROL,RIDESHARE,9800.63,70,19176,GOOD,0,ZERO_DEP_PREMIUM,1000.0,591.71,0,0.0
2,HATCHBACK,PETROL,PERSONAL,13185.44,18,10424,GOOD,0,COMPREHENSIVE,1000.0,469.73,1,4392.3
12,HATCHBACK,DIESEL,PERSONAL,4836.38,44,11776,GOOD,0,COMPREHENSIVE,1000.0,250.0,0,0.0
5,SEDAN,ELECTRIC,PERSONAL,18211.69,24,20971,GOOD,0,COMPREHENSIVE,500.0,648.79,0,0.0
10,SEDAN,HYBRID,PERSONAL,8642.35,18,10687,FAIR,0,COMPREHENSIVE,500.0,307.88,0,0.0
13,SEDAN,ELECTRIC,PERSONAL,6568.66,75,9679,FAIR,1,THIRD_PARTY,500.0,250.0,1,431.69
14,TRUCK,DIESEL,PERSONAL,12504.21,42,11913,GOOD,0,COMPREHENSIVE,500.0,356.37,0,0.0
15,SUV,PETROL,PERSONAL,8630.11,65,10589,POOR,0,ZERO_DEP_PREMIUM,500.0,302.05,0,0.0
13,SEDAN,PETROL,PERSONAL,6916.29,21,9446,FAIR,0,COMPREHENSIVE,1000.0,250.0,0,0.0
6,SEDAN,PETROL,PERSONAL,10892.82,47,6165,EXCELLENT,0,COMPREHENSIVE,500.0,310.45,0,0.0
6,SEDAN,DIESEL,PERSONAL,15717.54,25,19666,GOOD,2,ZERO_DEP_PREMIUM,1000.0,550.11,0,0.0
5,SEDAN,DIESEL,PERSONAL,20631.93,66,14978,POOR,0,COMPREHENSIVE,500.0,588.01,0,0.0
8,HATCHBACK,PETROL,COMMERCIAL,9750.89,38,19774,POOR,0,COMPREHENSIVE,1000.0,375.17,0,0.0
14,SUV,ELECTRIC,PERSONAL,8313.84,68,16796,GOOD,0,COMPREHENSIVE,250.0,250.0,0,0.0
0,TRUCK,DIESEL,PERSONAL,49268.95,21,12570,FAIR,0,COMPREHENSIVE,2000.0,1755.21,1,20820.32
12,SUV,PETROL,PERSONAL,15081.6,77,4984,GOOD,1,COMPREHENSIVE,500.0,494.3,0,0.0
8,SEDAN,PETROL,PERSONAL,12056.72,21,8408,EXCELLENT,0,COMPREHENSIVE,1000.0,429.52,0,0.0
12,HATCHBACK,ELECTRIC,PERSONAL,6978.35,25,10931,FAIR,2,COMPREHENSIVE,1000.0,250.0,1,3130.0
8,HATCHBACK,ELECTRIC,PERSONAL,10022.66,59,8162,POOR,0,COMPREHENSIVE,1000.0,285.65,0,0.0
3,SUV,HYBRID,PERSONAL,22942.45,43,4311,GOOD,1,THIRD_PARTY,250.0,286.78,0,0.0
12,HATCHBACK,PETROL,PERSONAL,4547.04,46,8490,EXCELLENT,1,ZERO_DEP_PREMIUM,2000.0,250.0,0,0.0
11,SUV,CNG,PERSONAL,10541.45,33,11626,FAIR,0,THIRD_PARTY,1000.0,250.0,0,0.0
14,SUV,PETROL,PERSONAL,8048.8,36,19654,GOOD,0,COMPREHENSIVE,1000.0,250.0,0,0.0
11,SUV,PETROL,PERSONAL,17037.38,18,9470,EXCELLENT,0,COMPREHENSIVE,500.0,606.96,0,0.0
15,SEDAN,CNG,PERSONAL,8540.94,54,15449,EXCELLENT,1,ZERO_DEP_PREMIUM,1000.0,298.93,0,0.0
4,SEDAN,PETROL,PERSONAL,13128.35,51,8104,EXCELLENT,1,COMPREHENSIVE,1000.0,374.16,0,0.0
2,SEDAN,DIESEL,PERSONAL,24017.87,46,11490,GOOD,1,ZERO_DEP_PREMIUM,500.0,840.63,1,1769.7
6,SUV,PETROL,PERSONAL,22384.63,44,12345,GOOD,1,COMPREHENSIVE,1000.0,637.96,0,0.0
14,SEDAN,DIESEL,PERSONAL,6758.29,65,19700,EXCELLENT,0,ZERO_DEP_PREMIUM,1000.0,250.0,0,0.0
1,SUV,HYBRID,PERSONAL,37418.09,62,3000,POOR,0,THIRD_PARTY,250.0,467.73,0,0.0
7,TRUCK,PETROL,COMMERCIAL,30994.77,47,8848,POOR,0,COMPREHENSIVE,500.0,1192.52,0,0.0
8,SEDAN,DIESEL,COMMERCIAL,10015.74,23,13611,EXCELLENT,0,ZERO_DEP_PREMIUM,1000.0,591.55,0,0.0
5,SUV,PETROL,PERSONAL,17619.15,53,14381,EXCELLENT,0,COMPREHENSIVE,2000.0,502.15,0,0.0
8,HATCHBACK,DIESEL,PERSONAL,5442.69,74,7203,GOOD,1,ZERO_DEP_PREMIUM,2000.0,250.0,0,0.0
5,SEDAN,PETROL,PERSONAL,15489.58,56,12326,EXCELLENT,0,COMPREHENSIVE,1000.0,441.45,0,0.0
2,SEDAN,PETROL,PERSONAL,20159.96,19,12557,EXCELLENT,0,ZERO_DEP_PREMIUM,500.0,882.0,0,0.0
